Period,Closing,Wins,Losses,WinRate,RealPnLClosing,GrossProfit,GrossLoss,ProfitFactor,AvgTrade,AvgWin,AvgLoss,RrRatio,MaxLossStreak,MaxWinStreak
2020-09,6,2,4,33.33,-26.12,81.25,107.37,0.757,-4.35,40.62,26.84,1.513,3,1
2021-01,10,3,7,30.00,-519.34,88.91,608.25,0.146,-51.93,29.64,86.89,0.341,4,2
2021-02,1221,352,869,28.83,-2347.70,2482.14,4829.84,0.514,-1.92,7.05,5.56,1.269,21,10
2021-03,530,170,360,32.08,-6500.03,5368.07,11868.10,0.452,-12.26,31.58,32.97,0.958,32,10
2021-04,124,32,92,25.81,-3208.20,3908.26,7116.46,0.549,-25.87,122.13,77.35,1.579,15,3
2021-05,86,28,58,32.56,-2173.42,602.99,2776.41,0.217,-25.27,21.54,47.87,0.450,13,3
2021-06,111,31,80,27.93,-4123.37,4586.77,8710.14,0.527,-37.15,147.96,108.88,1.359,7,4
2021-07,240,85,155,35.42,-4306.35,6627.23,10933.59,0.606,-17.94,77.97,70.54,1.105,14,9
2021-08,260,81,179,31.15,-2656.78,2205.63,4862.41,0.454,-10.22,27.23,27.16,1.002,13,5
2021-09,71,14,57,19.72,-9125.49,5288.52,14414.01,0.367,-128.53,377.75,252.88,1.494,8,2
2021-10,31,11,20,35.48,31713.19,54290.32,22577.12,2.405,1023.01,4935.48,1128.86,4.372,5,4
2021-11,162,51,111,31.48,-7970.03,42886.78,50856.81,0.843,-49.20,840.92,458.17,1.835,12,5
2021-12,93,16,77,17.20,-4686.79,1047.02,5733.81,0.183,-50.40,65.44,74.47,0.879,14,2
2022-01,162,45,117,27.78,-7536.56,3411.11,10947.67,0.312,-46.52,75.80,93.57,0.810,19,5
2022-02,30,8,22,26.67,-1142.98,14215.71,15358.69,0.926,-38.10,1776.96,698.12,2.545,5,1
2022-03,339,168,171,49.56,-3029.56,16411.04,19440.60,0.844,-8.94,97.68,113.69,0.859,7,12
2022-04,63,26,37,41.27,-1622.52,1260.81,2883.33,0.437,-25.75,48.49,77.93,0.622,7,5
2022-05,192,83,109,43.23,-2458.59,11878.65,14337.24,0.829,-12.81,143.12,131.53,1.088,7,5
2022-06,65,23,42,35.38,-1223.74,929.98,2153.72,0.432,-18.83,40.43,51.28,0.789,6,2
2022-07,75,11,64,14.67,-7669.72,895.21,8564.93,0.105,-102.26,81.38,133.83,0.608,23,2
2022-08,100,31,69,31.00,-1248.77,28476.15,29724.92,0.958,-12.49,918.59,430.80,2.132,9,4
2022-09,146,39,107,26.71,-1349.65,31149.48,32499.13,0.958,-9.24,798.70,303.73,2.630,14,2
2022-10,64,18,46,28.13,-2049.78,564.34,2614.12,0.216,-32.03,31.35,56.83,0.552,10,2
2022-11,98,27,71,27.55,-2409.74,1539.75,3949.49,0.390,-24.59,57.03,55.63,1.025,11,3
2022-12,30,5,25,16.67,-821.03,1918.17,2739.20,0.700,-27.37,383.63,109.57,3.501,9,2
2023-01,36,8,28,22.22,-2119.24,815.33,2934.57,0.278,-58.87,101.92,104.81,0.972,11,3
2023-02,25,5,20,20.00,-673.07,674.40,1347.47,0.500,-26.92,134.88,67.37,2.002,11,2
2023-03,31,9,22,29.03,-1430.18,132.30,1562.48,0.085,-46.13,14.70,71.02,0.207,7,2
2023-04,27,3,24,11.11,-1481.00,1.46,1482.46,0.001,-54.85,0.49,61.77,0.008,21,2
2023-05,35,3,32,8.57,-830.68,30.59,861.27,0.036,-23.73,10.20,26.91,0.379,18,2
2023-07,22,5,17,22.73,62.91,356.08,293.17,1.215,2.86,71.22,17.25,4.130,12,1
2023-09,105,33,72,31.43,-19.54,941.83,961.37,0.980,-0.19,28.54,13.35,2.137,10,4
2023-10,236,65,171,27.54,-392.70,587.31,980.01,0.599,-1.66,9.04,5.73,1.577,23,6
2023-11,120,20,100,16.67,-201.48,267.46,468.94,0.570,-1.68,13.37,4.69,2.852,20,2
2023-12,101,23,78,22.77,-449.72,776.06,1225.78,0.633,-4.45,33.74,15.72,2.147,16,4
2024-01,21,8,13,38.10,-108.50,168.83,277.33,0.609,-5.17,21.10,21.33,0.989,7,4
2024-02,211,49,162,23.22,-541.80,2331.07,2872.87,0.811,-2.57,47.57,17.73,2.683,21,5
2024-03,82,14,68,17.07,-408.02,711.85,1119.87,0.636,-4.98,50.85,16.47,3.087,21,2
2024-04,24,2,22,8.33,-133.83,44.72,178.55,0.250,-5.58,22.36,8.12,2.755,10,1
2024-05,13,1,12,7.69,-83.86,33.07,116.93,0.283,-6.45,33.07,9.74,3.393,7,1
2024-06,4,0,4,0.00,-13.70,0.00,13.70,0.000,-3.42,0.00,3.42,0.000,4,0
2024-07,29,3,26,10.34,-286.90,163.70,450.59,0.363,-9.89,54.57,17.33,3.149,10,1
2024-08,16,1,15,6.25,-167.26,9.98,177.24,0.056,-10.45,9.98,11.82,0.845,8,1
2024-09,12,1,11,8.33,-175.57,5.43,181.00,0.030,-14.63,5.43,16.45,0.330,7,1
2024-10,42,4,38,9.52,-405.90,292.02,697.92,0.418,-9.66,73.00,18.37,3.975,23,2
2024-12,68,21,47,30.88,-625.37,699.66,1325.03,0.528,-9.20,33.32,28.19,1.182,14,9
2025-01,46,11,35,23.91,-1368.59,636.11,2004.70,0.317,-29.75,57.83,57.28,1.010,14,3
2025-02,33,7,26,21.21,-614.92,361.14,976.07,0.370,-18.63,51.59,37.54,1.374,14,1
2025-03,36,5,31,13.89,-66.20,2261.52,2327.72,0.972,-1.84,452.30,75.09,6.024,16,3
2025-04,13,1,12,7.69,-227.93,0.45,228.39,0.002,-17.53,0.45,19.03,0.024,9,1
2025-05,31,3,28,9.68,-801.56,150.33,951.90,0.158,-25.86,50.11,34.00,1.474,14,1
2025-08,37,9,28,24.32,411.57,2769.60,2358.02,1.175,11.12,307.73,84.22,3.654,8,2
2025-09,22,8,14,36.36,-108.94,5.61,114.55,0.049,-4.95,0.70,8.18,0.086,8,3
2025-10,11,4,7,36.36,2566.34,4461.42,1895.08,2.354,233.30,1115.36,270.73,4.120,4,2
2025-11,15,2,13,13.33,-283.92,69.62,353.54,0.197,-18.93,34.81,27.20,1.280,8,1